Sake,SMV,Body,Fruitiness,Floralness,Earthiness,Savoriness,Richness,Acidity,Aged,Juiciness,Nigori,Price_by_gls,Price_by_btl,Prefecture,Style,Image,Notes,Tasting_notes,x,y
Taka_Noble_Arrow,2,2,4,2,1,1,1,3,0,3,0,20,102.0,Yamaguchi,Tokubetsu_Junmai,/images/taka_noble_arrow.jpg,Brewed by Nagayama Takahiro who also studied wine making. He owns a winery and a brewery.,"Melon, lime, mint",2.5656074833918843,-0.17885264507157178
Heiwa_shuzo_Kid,2,3,4,3,1,1,1,2,0,3,0,20,102.0,Wakayama,Junmai_Daiginjo,/images/heiwa_shuzo_kid.jpg,"During World War II, the worsening war situation led the government to order the brewery to suspend operations and use its facilities to house evacuated schoolchildren. Even after the war ended, the brewery was not immediately allowed to resume production. After persistent effort by the 2nd owner, permission to resume brewing was finally granted. The brewery’s name, “Heiwa” (meaning “peace”), reflects this desire to make sake in a peaceful time.","Flower, rice, aloe vera",2.6925849365977865,-0.753115535006034
Suigei_Tokubetsu_Junmai,4,2,1,1,4,3,3,2,0,1,0,19,,Kouchi,Tokubetsu_Junmai,/images/suigei_tokubetsu_junmai.jpg,Named after a real samurai lord who's nick name was drunken whale because he was big and always drunk.,"Fennel, rose",-3.273045519079972,0.4535528508674463
Tamagawa_Red_Label,4,4,3,3,3,4,4,4,0,3,0,19,,Kyoto,Junmai,/images/tamagawa_red_label.jpg,"Brewed by the very first non Japanese master brewer, Philip Harper. It is unpasteurized, uncharcoal filtered, and undiluted. It is also made with the Yamahai method (tradtional method), which causes the yeast to be more tolerant to alcohol. Thus this sake is high ABV (20%). ","Hazelnut, amontillado sherry, birch syrup",-0.4718444170802142,2.798248032213515
Daimon_Road_to_Osaka,3,3,3,3,2,2,2,2,0,2,1,20,102.0,Osaka,Junmai,/images/daimon_road_to_osaka.jpg,"The Daimon Sake Brewery logo has a large gate as its motif. It represents; The gate to the world of sake. The gate of hospitality that is always open. The gate that connects people and nature, and people and people. The gate that creates and protects a path that will last for generations and will continue into the future. The gate that brings good fortune and peace.","Banana, citrus, floral",0.443402475692719,-2.6269452360460144
Tamagawa_Heart_of_Gold,3,3,3,2,2,1,3,2,1,2,0,25,120.0,Kyoto,Daiginjo,/images/tamagawa_heart_of_gold.jpg,Aged in sub-freezing temperature. This prevents the development of oxidative notes often found in aged sake. The fruitiness is retained while the acidity is mellowed out.,,-0.7494295900644524,-1.8793891926552817
Kanbara_Ancient_Treasures,1,5,3,3,3,5,5,3,1,4,0,30,140.0,Niigata,Junmai,/images/kanbara_ancient_treasures.jpg,Aged for 12 years. Funky. Like a madeira sherry. ,"Tofee, olive oil, nuts, honey",1.1257148299868318,4.554084702914146
Imayo_Tsukasa_Black_Extra_Dry,5,3,2,2,4,3,3,2,0,1,0,22,102.0,Niigata,Junmai,/images/imayo_tsukasa_black_extra_dry.jpg,Driest sake in the Minnesota market. Poured in a handful of MICHELIN-starred restaurants in Europe,"Bone dry, apricot, chestnut",-2.3737130549426264,-0.12748380230280482
Mantensei_Star_Filled_Sky,4,4,2,2,3,3,4,2,1,1,0,21,110.0,Tottori,Junmai Ginjo,/images/mantensei_star_filled_sky.jpg,Aged for two years. Tottori is the least populated prefecture in Japan. ,"Apple, fennel, baking spice",-3.1851760981595065,-1.0307931829796304
Kawatsuru_Olive,2,2,3,3,2,2,2,3,0,4,0,20,102.0,Kagawa,Junmai Ginjo,/images/kawatsuru_olive.jpg,Kagawa prefecture is in the south west region of Japan. The climate of Kagawa is very mediterranean. The sake is brewed from yeasts that are isolated from olive flowers grown in Kagawa.,"Melon, flower, pear, brine",1.7711676314926936,0.9762650478244809
